Attendance_Percentage,Quiz_Average,Marks,Assignment_Average,Weekly_Study_Hours,Average_Session_Duration,Engagement_Score,Sessions_Per_Week,Performance
77.0,64.92,65.33333333333333,54.6,32.2,118,100.0,11,Average
74.9,57.48500000000001,56.333333333333336,59.4,18.4,67,100.0,6,Average
66.9,54.58166666666667,49.66666666666666,45.4,27.6,151,100.0,4,At Risk
76.5,57.32833333333334,45.333333333333336,44.2,6.6,56,39.8,12,At Risk
75.7,60.156666666666666,58.0,34.6,22.2,172,82.6,3,Average
70.8,46.98833333333334,32.0,62.6,27.2,129,99.6,4,At Risk
74.4,62.373333333333335,34.333333333333336,50.8,18.0,120,100.0,7,At Risk
72.2,55.26166666666666,47.66666666666666,40.0,17.4,81,72.19999999999999,5,At Risk
84.8,64.01333333333334,61.0,37.0,19.9,41,99.7,11,Average
82.5,50.40833333333333,80.0,44.0,24.4,107,100.0,11,High Performer
69.9,48.376666666666665,73.33333333333333,65.8,20.1,45,76.30000000000001,2,Average
74.5,72.355,61.0,23.4,28.6,138,100.0,11,Average
77.8,61.330000000000005,62.333333333333336,35.4,11.4,43,60.2,9,Average
72.6,65.78833333333334,79.66666666666667,50.6,24.4,65,100.0,5,Average
75.2,58.47166666666666,60.333333333333336,35.4,29.0,159,100.0,2,Average
71.9,55.24,51.66666666666666,53.6,24.1,94,100.0,7,Average
73.2,73.35333333333334,31.0,34.2,27.2,156,100.0,11,At Risk
73.9,46.645,70.0,49.8,7.8,161,69.4,5,Average
70.9,66.09,74.33333333333333,68.0,24.4,52,83.19999999999999,13,Average
76.1,66.65166666666666,62.66666666666666,51.6,5.7,144,77.1,5,Average
78.0,59.80166666666667,49.333333333333336,37.8,9.9,54,85.7,9,At Risk
73.8,80.445,60.0,26.6,28.4,55,100.0,6,Average
72.7,55.89833333333333,58.66666666666666,51.8,21.1,110,79.30000000000001,13,Average
83.9,66.415,82.0,61.2,17.6,35,82.80000000000001,9,High Performer
78.8,53.72833333333333,67.33333333333333,32.2,23.5,67,90.5,13,Average
71.0,76.48,42.66666666666666,32.8,20.3,46,88.9,9,At Risk
74.7,60.125,55.66666666666666,46.4,10.0,36,52.0,8,Average
73.7,63.91166666666667,59.0,37.8,31.8,149,100.0,13,Average
67.4,61.098333333333336,58.333333333333336,36.6,29.2,177,100.0,9,Average
75.2,66.315,46.333333333333336,30.8,5.6,112,52.8,6,At Risk
73.8,72.79833333333333,58.333333333333336,50.4,25.4,34,100.0,3,Average
71.6,54.24,57.333333333333336,65.8,26.8,179,100.0,7,Average
75.1,75.82666666666667,23.666666666666668,51.2,28.0,47,100.0,7,At Risk
76.3,71.22666666666667,80.33333333333333,38.2,33.0,87,100.0,3,High Performer
69.2,69.89,66.66666666666667,50.8,16.2,38,82.6,14,Average
81.0,57.11666666666667,58.333333333333336,37.8,34.8,30,100.0,2,Average
80.7,61.098333333333336,64.0,41.2,26.1,145,100.0,7,Average
70.4,56.72666666666667,48.333333333333336,35.2,7.1,158,41.3,8,At Risk
76.7,65.69166666666666,50.0,47.0,19.6,93,94.8,11,Average
74.2,58.79,51.66666666666666,41.8,14.0,84,60.0,9,Average
78.4,51.845,44.66666666666666,49.6,19.8,150,100.0,5,At Risk
69.9,73.16000000000001,51.66666666666666,39.4,21.8,130,100.0,7,Average
77.1,61.923333333333325,67.66666666666667,54.6,20.1,141,74.30000000000001,3,Average
76.5,58.58833333333333,75.0,23.2,11.5,126,92.5,4,Average
72.1,54.68333333333334,42.0,86.2,5.8,157,47.4,11,At Risk
81.9,64.5,41.0,43.0,20.5,20,100.0,7,At Risk
76.8,77.29,70.66666666666667,64.0,31.5,27,100.0,12,Average
81.3,56.805,46.66666666666666,59.6,34.7,165,100.0,9,At Risk
68.0,54.66833333333333,53.333333333333336,52.4,33.7,135,100.0,14,Average
66.3,63.20166666666666,55.66666666666666,23.6,33.5,73,100.0,14,Average
79.9,75.69666666666667,61.66666666666666,37.0,7.8,109,81.4,12,Average
77.6,71.32166666666667,80.0,43.8,20.1,110,84.30000000000001,12,High Performer
73.4,50.053333333333335,42.333333333333336,37.4,30.9,42,100.0,12,At Risk
74.9,62.705000000000005,66.0,50.8,30.4,70,100.0,7,Average
77.9,60.923333333333325,74.66666666666667,52.6,33.3,105,100.0,8,Average
75.0,59.085,49.0,34.0,19.8,21,100.0,6,At Risk
68.2,63.12833333333333,64.33333333333333,44.4,31.2,107,100.0,12,Average
80.2,85.90166666666666,51.0,52.8,24.9,52,100.0,10,Average
75.5,60.85,77.33333333333333,31.0,30.3,132,100.0,3,Average
78.1,51.84,77.66666666666667,44.8,29.1,70,100.0,2,Average
87.2,47.02166666666667,46.66666666666666,54.8,12.6,178,97.8,5,At Risk
76.7,58.345,63.0,39.2,29.3,52,100.0,5,Average
76.8,65.95,75.0,46.8,15.2,53,61.6,12,Average
72.9,55.23499999999999,87.0,66.2,5.2,32,25.6,6,High Performer
75.9,66.68833333333333,46.0,52.6,8.4,170,59.2,10,At Risk
70.6,58.725,68.33333333333333,32.4,19.1,28,97.3,13,Average
72.6,72.14999999999999,54.0,45.8,23.3,21,79.9,12,Average
72.9,51.43833333333333,60.333333333333336,52.8,18.9,141,98.7,3,Average
69.7,73.64833333333333,75.66666666666667,72.2,32.8,161,100.0,11,Average
73.9,51.44333333333333,42.66666666666666,53.4,32.3,88,100.0,13,At Risk
81.6,72.75,50.66666666666666,45.6,9.2,166,67.6,9,Average
84.1,40.708333333333336,37.66666666666666,45.4,12.1,49,74.3,3,At Risk
82.7,45.52166666666667,79.0,29.2,27.0,143,100.0,4,Average
79.2,57.34166666666667,57.66666666666666,60.6,30.0,131,100.0,14,Average
72.9,59.330000000000005,66.0,58.8,18.6,22,97.8,12,Average
68.6,66.84166666666667,69.0,65.4,26.0,80,100.0,10,Average
70.4,69.98666666666666,66.66666666666667,26.0,12.6,180,59.8,6,Average
72.8,64.98,68.0,53.4,21.0,126,100.0,4,Average
72.6,63.98,75.33333333333333,54.0,10.0,180,70.0,4,Average
72.1,72.59333333333333,47.66666666666666,45.8,17.2,69,99.6,6,At Risk
80.5,77.97666666666667,47.0,41.6,19.2,138,71.6,13,At Risk
68.4,59.53333333333333,56.0,57.2,24.6,78,100.0,14,Average
70.0,61.333333333333336,55.0,47.2,28.4,154,100.0,5,Average
73.6,90.88,53.0,65.2,24.7,138,100.0,3,Average
76.8,63.833333333333336,83.66666666666667,37.2,5.5,39,50.5,5,High Performer
82.9,58.02166666666667,54.0,45.4,7.2,33,43.6,7,Average
86.8,66.60166666666667,74.0,40.0,9.4,76,62.2,12,Average
77.0,67.00166666666667,59.333333333333336,51.8,17.6,37,72.80000000000001,7,Average
62.2,54.04333333333333,87.33333333333333,39.6,24.3,137,100.0,12,High Performer
79.7,58.553333333333335,84.0,53.2,17.5,171,98.5,6,High Performer
62.9,72.36666666666666,67.0,43.8,22.9,113,94.7,2,Average
79.8,54.78666666666667,82.33333333333333,43.0,34.9,99,100.0,14,High Performer
69.0,68.62,52.333333333333336,22.6,24.3,55,88.9,14,Average
75.9,53.126666666666665,55.66666666666666,43.4,17.3,35,87.9,14,Average
73.0,71.78,81.66666666666667,66.8,26.7,98,94.1,6,High Performer
73.5,72.165,59.333333333333336,39.6,25.9,171,100.0,12,Average
83.5,61.98499999999999,73.66666666666667,51.6,28.3,94,100.0,11,Average
74.0,54.54833333333334,70.0,39.2,30.8,27,100.0,4,Average
69.8,61.73,84.0,53.6,22.8,180,100.0,10,High Performer
79.8,79.60000000000001,56.0,38.4,20.9,99,100.0,2,Average
76.0,53.12833333333333,73.33333333333333,51.6,12.6,154,59.8,11,Average
78.8,70.67666666666666,44.66666666666666,51.2,16.0,135,98.0,5,At Risk
71.8,62.68166666666667,55.66666666666666,48.2,19.1,87,100.0,3,Average
74.5,68.365,89.0,62.4,25.6,107,100.0,8,High Performer
76.6,75.76666666666667,64.0,39.4,14.0,164,100.0,9,Average
83.9,73.33333333333333,39.333333333333336,33.0,6.6,62,67.8,10,At Risk
73.9,61.02166666666667,66.33333333333333,28.0,13.8,104,69.4,5,Average
77.8,55.830000000000005,53.333333333333336,22.8,30.3,124,100.0,3,Average
81.2,64.03666666666668,64.0,50.2,14.0,66,52.0,9,Average
75.9,50.46333333333334,62.66666666666666,41.2,20.5,161,97.5,8,Average
70.4,73.98333333333333,55.0,39.0,21.8,39,100.0,10,Average
78.5,67.44333333333333,65.66666666666667,28.4,8.2,57,66.6,11,Average
73.2,73.61666666666666,64.66666666666667,67.4,20.1,78,100.0,7,Average
82.4,61.91333333333333,69.33333333333333,69.0,6.2,135,78.6,9,Average
76.8,67.60333333333334,52.0,50.0,31.6,119,100.0,11,Average
78.4,77.24166666666666,72.0,35.0,5.6,164,52.8,11,Average
68.1,68.545,68.66666666666667,69.6,22.2,141,100.0,6,Average
72.3,65.55333333333333,56.66666666666666,57.8,24.6,48,100.0,14,Average
74.8,37.21666666666667,72.66666666666667,36.8,7.6,56,44.8,11,Average
68.9,69.15666666666667,78.0,49.2,12.3,150,54.900000000000006,4,Average
83.0,66.67833333333333,52.333333333333336,74.0,32.6,82,100.0,8,Average
82.4,48.93333333333334,57.66666666666666,21.8,26.7,55,98.1,13,Average
80.6,60.78333333333333,77.0,27.4,30.1,133,100.0,5,Average
75.2,59.0,41.333333333333336,37.8,31.7,93,100.0,6,At Risk
75.4,55.665,49.0,75.6,18.1,29,80.30000000000001,14,At Risk
68.7,52.34,65.0,51.2,29.1,53,100.0,8,Average
76.1,54.46833333333333,81.0,46.4,5.4,148,68.2,5,High Performer
73.3,61.38833333333333,31.33333333333333,44.2,27.8,132,100.0,8,At Risk
75.2,81.19,65.33333333333333,46.6,30.4,99,100.0,2,Average
75.3,64.08833333333332,50.0,58.4,14.9,32,94.7,3,Average
68.4,63.88333333333333,50.333333333333336,47.4,23.4,69,100.0,8,Average
64.2,69.77,74.33333333333333,36.2,10.7,21,70.1,7,Average
78.5,67.59666666666666,70.33333333333333,41.4,23.2,61,100.0,12,Average
75.8,47.03666666666667,75.66666666666667,45.0,6.4,163,71.2,13,Average
64.0,75.33333333333333,60.333333333333336,37.2,30.3,25,100.0,12,Average
71.4,57.60999999999999,68.66666666666667,61.8,8.4,150,41.2,7,Average
76.3,52.94166666666666,70.0,53.6,12.6,174,91.8,3,Average
75.5,43.975,57.66666666666666,32.0,26.4,178,100.0,3,Average
74.9,55.91,33.0,43.6,19.7,178,81.1,3,At Risk
74.4,84.13333333333334,45.0,49.4,15.5,87,88.5,8,At Risk
81.6,66.63333333333334,41.66666666666666,45.6,31.0,124,100.0,8,At Risk
67.5,54.43,54.0,43.4,31.1,29,100.0,7,Average
82.1,57.535,63.0,42.8,26.9,147,100.0,13,Average
74.0,47.29833333333334,84.33333333333333,35.0,23.7,118,99.1,6,High Performer
74.6,60.64166666666667,25.666666666666668,28.4,31.2,107,100.0,8,At Risk
71.0,66.54,61.0,61.0,30.7,162,100.0,6,Average
69.5,64.895,43.0,28.8,22.8,57,78.4,7,At Risk
79.4,55.43,64.66666666666667,48.8,16.7,21,100.0,10,Average
83.0,63.620000000000005,73.0,39.0,18.2,103,86.6,2,Average
74.3,50.26666666666667,72.0,53.6,6.4,33,63.2,7,Average
77.8,57.32833333333334,49.0,63.0,18.0,121,100.0,10,At Risk
74.3,48.821666666666665,47.333333333333336,40.0,32.8,30,100.0,8,At Risk
76.4,49.495,75.0,44.6,5.5,174,56.5,7,Average
72.2,48.99,73.33333333333333,52.2,33.4,47,100.0,4,Average
73.0,76.68166666666666,65.33333333333333,45.4,17.8,72,67.4,3,Average
68.6,62.61333333333334,40.66666666666666,30.6,15.9,114,77.7,12,At Risk
73.2,61.90166666666667,69.66666666666667,41.8,18.7,137,78.1,3,Average
77.7,45.48333333333333,56.333333333333336,67.0,17.4,36,78.19999999999999,8,Average
73.3,58.20499999999999,51.333333333333336,59.8,33.5,138,100.0,11,Average
76.6,54.38,36.333333333333336,37.8,31.6,93,100.0,7,At Risk
69.0,62.428333333333335,50.0,25.4,29.8,36,100.0,12,Average
74.7,64.69,40.66666666666666,69.4,17.9,95,100.0,3,At Risk
71.9,71.51666666666667,44.66666666666666,71.8,15.5,34,82.5,7,At Risk
75.1,71.45,51.333333333333336,23.8,16.6,143,91.8,2,Average
90.4,85.44666666666667,63.333333333333336,85.8,27.4,40,100.0,11,Average
73.1,82.22500000000001,61.66666666666666,20.2,23.6,31,100.0,2,Average
79.1,61.51166666666666,60.333333333333336,43.6,11.7,78,57.1,9,Average
79.0,49.81,53.66666666666666,46.8,10.9,27,82.7,4,Average
75.2,61.06666666666666,53.333333333333336,44.4,30.0,21,100.0,10,Average
80.5,54.12,76.0,40.4,10.0,85,70.0,7,Average
75.3,59.42166666666666,59.66666666666666,35.2,26.7,33,100.0,3,Average
74.0,75.32833333333333,78.0,58.0,5.1,175,57.3,11,Average
76.9,71.51,46.66666666666666,52.4,27.9,140,100.0,8,At Risk
79.1,76.84166666666667,30.0,33.4,29.6,143,100.0,4,At Risk
80.4,63.10166666666667,74.66666666666667,62.8,6.8,142,54.4,5,Average
73.6,67.89333333333333,87.33333333333333,46.6,27.1,123,100.0,4,High Performer
76.1,65.47333333333334,49.333333333333336,46.4,6.9,93,60.7,6,At Risk
71.6,43.585,64.66666666666667,54.6,18.5,41,89.5,14,Average
74.5,51.998333333333335,89.33333333333333,58.0,7.7,140,57.1,8,High Performer
68.7,59.97166666666666,68.66666666666667,82.6,29.6,70,100.0,2,Average
74.2,54.495000000000005,66.66666666666667,48.2,17.4,96,86.19999999999999,2,Average
76.1,56.098333333333336,55.333333333333336,55.2,14.8,80,100.0,10,Average
70.5,60.52333333333333,65.0,41.6,28.8,79,100.0,12,Average
75.6,75.18,78.33333333333333,63.8,24.3,160,88.9,7,Average
76.5,73.66166666666668,74.66666666666667,48.2,26.3,147,88.9,6,Average
74.1,46.52,48.66666666666666,28.4,9.0,106,73.0,12,At Risk
79.9,60.781666666666666,52.333333333333336,49.0,25.2,176,100.0,9,Average
79.1,65.165,61.66666666666666,37.8,6.7,160,48.1,14,Average
69.8,74.57166666666667,79.0,34.6,26.2,46,100.0,13,Average
72.8,78.56166666666667,82.0,23.0,33.7,78,100.0,13,High Performer
82.1,58.25,72.33333333333333,19.8,24.8,124,100.0,6,Average
73.6,54.42,59.66666666666666,37.6,31.5,40,100.0,3,Average
78.4,52.13,69.66666666666667,44.6,6.5,88,57.5,12,Average
71.5,71.89999999999999,89.33333333333333,52.8,23.2,77,87.6,5,High Performer
67.9,56.72833333333333,63.66666666666666,71.8,26.1,97,100.0,5,Average
74.1,40.903333333333336,69.0,36.4,28.7,147,100.0,11,Average
84.9,47.24166666666667,59.66666666666666,49.6,23.9,84,89.69999999999999,5,Average
75.4,60.39000000000001,63.0,76.6,15.6,74,96.8,10,Average
67.2,66.715,72.0,45.2,24.2,77,90.6,10,Average
64.8,72.385,45.66666666666666,65.0,26.4,137,100.0,11,At Risk
81.4,62.20666666666667,67.33333333333333,36.6,26.3,127,94.9,2,Average
80.6,69.885,64.0,46.4,23.5,49,94.5,2,Average
81.3,46.10166666666667,57.0,57.2,26.8,166,100.0,14,Average
75.1,58.461666666666666,30.666666666666668,58.6,11.1,35,51.3,6,At Risk
79.1,44.905,40.333333333333336,59.8,32.7,52,100.0,2,At Risk
77.2,60.458333333333336,57.0,45.2,34.8,138,100.0,11,Average
78.9,63.34333333333333,44.0,47.6,24.5,140,87.5,13,At Risk
80.1,48.28333333333333,52.66666666666666,56.0,24.3,171,96.9,13,Average
78.3,63.28333333333333,55.0,54.0,33.5,41,100.0,10,Average
70.6,82.04166666666667,78.0,46.4,13.8,83,67.4,7,Average
61.7,52.2,64.66666666666667,42.0,14.3,128,74.9,11,Average
68.9,72.91166666666666,56.66666666666666,51.6,22.2,119,100.0,12,Average
72.4,59.70666666666667,50.0,30.6,21.2,42,100.0,3,Average
72.6,72.25833333333334,37.333333333333336,46.6,12.4,73,87.2,7,At Risk
77.0,71.29833333333333,54.66666666666666,62.8,7.1,45,45.3,12,Average
79.6,62.10833333333333,90.0,77.4,20.8,174,100.0,7,High Performer
78.0,64.22166666666666,33.0,38.4,13.5,31,74.5,11,At Risk
71.0,48.40166666666667,62.0,42.6,14.0,69,72.0,4,Average
76.6,48.28833333333333,54.66666666666666,35.6,31.6,178,100.0,8,Average
80.2,69.15666666666667,45.333333333333336,29.2,8.7,143,74.1,14,At Risk
76.6,50.06666666666666,65.33333333333333,48.4,29.9,41,100.0,12,Average
72.1,61.778333333333336,56.333333333333336,46.8,6.1,51,64.3,10,Average
77.9,62.275,33.666666666666664,56.8,35.0,149,100.0,7,At Risk
66.8,74.635,49.0,40.8,24.2,177,100.0,11,At Risk
74.2,68.25666666666667,79.0,42.8,27.9,110,100.0,5,Average
73.0,57.425,60.0,45.8,27.0,147,97.0,10,Average
76.5,43.76833333333334,46.66666666666666,63.4,12.1,114,84.3,9,At Risk
66.4,49.208333333333336,53.333333333333336,42.6,7.7,109,83.1,4,Average
73.6,64.28833333333334,66.33333333333333,36.0,7.2,90,41.6,12,Average
71.3,48.98333333333333,79.33333333333333,62.4,32.6,58,100.0,7,Average
75.9,43.22,62.66666666666666,44.6,11.1,64,91.3,3,Average
80.6,74.91,68.0,38.8,7.2,95,73.6,13,Average
75.6,48.086666666666666,34.333333333333336,26.4,27.9,81,100.0,4,At Risk
67.1,62.63833333333333,82.0,34.8,30.6,140,100.0,11,High Performer
71.4,52.91666666666666,41.66666666666666,40.2,10.0,157,90.0,2,At Risk
76.2,69.73333333333333,67.33333333333333,32.0,13.9,109,83.7,13,Average
69.1,60.298333333333325,40.333333333333336,49.0,11.7,167,69.1,6,At Risk
75.9,43.205000000000005,79.0,62.6,19.8,25,79.4,11,Average
76.7,67.35166666666667,37.333333333333336,66.0,25.5,65,100.0,6,At Risk
75.7,48.61666666666667,66.33333333333333,58.6,28.5,174,100.0,3,Average
72.3,56.63166666666667,27.666666666666668,54.2,31.4,78,100.0,4,At Risk
70.7,63.06666666666666,84.66666666666667,36.6,10.1,107,64.3,7,High Performer
76.2,66.13333333333334,84.0,18.6,11.6,56,84.8,10,High Performer
71.5,77.53833333333334,49.66666666666666,47.2,28.8,111,100.0,6,At Risk
72.4,42.46,68.0,69.8,6.5,81,75.5,10,Average
67.4,71.00666666666667,51.0,35.4,10.7,41,46.1,11,Average
79.4,38.47166666666667,50.0,30.2,34.4,46,100.0,14,Average
76.2,59.781666666666666,52.66666666666666,38.6,8.9,139,74.7,14,Average
84.3,60.78666666666666,42.333333333333336,72.4,28.3,152,100.0,9,At Risk
69.3,61.74,39.333333333333336,56.2,31.0,95,100.0,9,At Risk
75.2,65.585,56.0,70.2,18.5,136,75.5,4,Average
80.7,67.34666666666666,43.333333333333336,68.8,9.6,70,60.8,8,At Risk
68.4,55.11000000000001,31.0,38.6,7.3,57,39.9,5,At Risk
78.6,45.325,33.666666666666664,54.0,26.3,143,96.9,5,At Risk
69.7,64.75333333333333,65.0,23.4,5.2,103,71.6,8,Average
75.7,50.583333333333336,42.66666666666666,46.2,16.6,147,100.0,5,At Risk
76.7,64.345,52.66666666666666,39.4,29.8,140,100.0,7,Average
74.0,72.45,63.66666666666666,15.4,34.7,117,100.0,4,Average
73.8,68.46166666666666,48.333333333333336,42.8,11.2,131,45.6,7,At Risk
71.0,80.12166666666667,80.0,31.2,30.9,55,100.0,4,High Performer
73.6,79.27,47.66666666666666,40.8,25.9,75,93.7,7,At Risk
86.1,58.555,51.66666666666666,66.2,17.5,30,98.5,9,Average
77.9,65.57666666666667,41.0,42.4,32.9,148,100.0,14,At Risk
73.2,52.165,70.66666666666667,45.4,24.5,112,95.5,11,Average
76.9,73.73,71.66666666666667,27.4,5.3,127,75.9,8,Average
72.6,57.405,67.0,60.0,7.5,157,78.5,6,Average
74.3,57.620000000000005,40.333333333333336,48.8,27.2,179,100.0,6,At Risk
72.0,70.73333333333333,93.33333333333331,17.0,12.6,47,83.8,7,High Performer
72.9,69.40333333333334,61.333333333333336,43.8,27.4,119,100.0,10,Average
77.8,70.105,88.0,47.8,6.5,141,49.5,14,High Performer
66.7,56.79333333333333,55.333333333333336,44.8,8.2,33,38.6,13,Average
69.8,56.403333333333336,61.66666666666666,27.4,12.7,134,92.1,7,Average
69.8,55.91,66.66666666666667,34.6,31.0,48,100.0,12,Average
82.9,64.80166666666666,57.66666666666666,37.2,9.5,46,42.5,10,Average
82.7,64.04333333333334,50.66666666666666,56.6,8.0,168,72.0,4,Average
73.0,48.685,55.0,45.4,33.2,149,100.0,6,Average
74.6,71.84166666666667,54.66666666666666,29.4,26.5,75,100.0,7,Average
71.1,66.79166666666667,54.0,33.8,10.3,179,70.9,3,Average
81.9,69.41666666666667,83.33333333333333,66.6,28.5,22,100.0,11,High Performer
76.7,56.73833333333334,64.33333333333333,31.6,25.6,109,100.0,8,Average
73.8,63.55833333333334,69.66666666666667,23.6,13.1,112,53.3,2,Average
78.2,44.55833333333334,55.333333333333336,40.8,29.1,63,100.0,2,Average
77.2,42.703333333333326,46.333333333333336,63.0,14.3,120,84.9,6,At Risk
76.0,72.64,64.66666666666667,48.2,34.0,150,100.0,4,Average
76.5,58.120000000000005,79.66666666666667,34.8,6.6,75,65.8,13,Average
66.0,73.06333333333333,61.0,37.4,10.3,129,54.900000000000006,7,Average
68.4,73.35166666666667,47.0,18.4,14.3,161,54.900000000000006,10,At Risk
67.4,52.580000000000005,56.66666666666666,41.8,11.5,129,72.5,4,Average
71.8,66.66833333333334,60.0,49.6,6.8,105,50.4,5,Average
69.8,60.63666666666666,49.0,53.0,16.8,149,78.4,9,At Risk
72.3,67.93833333333333,63.66666666666666,43.4,16.9,104,86.69999999999999,10,Average
76.8,78.26166666666667,72.0,24.0,22.1,71,100.0,8,Average
74.6,79.17166666666667,44.0,53.0,27.7,97,100.0,4,At Risk
72.7,59.03333333333333,85.66666666666667,52.2,18.8,138,82.4,11,High Performer
77.5,65.64166666666667,78.66666666666667,44.4,30.2,40,100.0,10,Average
68.0,60.49,55.0,66.8,22.8,42,80.4,5,Average
76.2,77.165,58.0,48.4,7.3,112,33.9,5,Average
69.5,57.18166666666667,42.66666666666666,41.0,27.2,80,100.0,2,At Risk
73.9,58.97166666666667,47.66666666666666,30.2,22.8,52,100.0,10,At Risk
73.4,54.38,92.33333333333331,36.6,28.4,127,100.0,3,High Performer
70.8,68.29166666666667,39.0,33.4,22.6,135,85.80000000000001,5,At Risk
72.3,61.45,57.333333333333336,33.4,22.5,152,81.5,14,Average
71.8,56.00333333333333,84.0,39.2,24.7,72,98.1,2,High Performer
82.0,51.318333333333335,60.0,45.2,13.0,21,97.0,9,Average
71.1,68.19500000000001,64.33333333333333,56.2,34.2,86,100.0,13,Average
72.3,54.53,63.66666666666666,46.4,24.1,63,100.0,9,Average
71.3,54.62166666666667,37.333333333333336,41.8,25.9,167,87.69999999999999,6,At Risk
69.0,64.09333333333333,67.0,35.0,6.5,176,73.5,11,Average
70.1,66.15666666666667,71.0,42.2,30.9,47,100.0,6,Average
72.5,67.155,49.66666666666666,35.0,10.0,53,78.0,10,At Risk
71.2,52.03666666666667,66.0,39.6,19.2,90,100.0,3,Average
75.4,67.83,46.0,25.6,24.3,117,92.9,11,At Risk
75.4,70.60833333333333,80.33333333333333,48.2,23.3,151,91.9,2,High Performer
69.7,56.906666666666666,51.0,37.6,33.8,116,100.0,3,Average
73.7,68.37833333333333,38.333333333333336,37.8,9.7,27,43.1,9,At Risk
69.8,65.785,70.0,50.6,16.8,49,76.4,3,Average
74.2,54.330000000000005,79.0,27.6,20.2,95,100.0,9,Average
79.2,57.43833333333333,55.0,40.8,29.8,177,100.0,9,Average
76.1,52.63833333333333,55.66666666666666,49.6,21.7,81,87.1,6,Average
77.5,59.17166666666666,44.66666666666666,26.6,13.5,130,82.5,2,At Risk
79.9,59.53,78.0,40.2,17.7,33,91.1,2,Average
70.5,60.546666666666674,74.66666666666667,52.4,33.6,23,100.0,3,Average
79.2,68.315,49.66666666666666,30.6,7.4,178,32.2,2,At Risk
77.0,59.39666666666667,64.33333333333333,23.4,24.8,115,86.4,12,Average
75.3,67.99833333333333,68.0,49.0,26.8,112,94.4,3,Average
81.0,65.89666666666666,68.66666666666667,65.2,6.3,39,44.9,3,Average
72.4,71.925,61.0,60.2,34.3,95,100.0,7,Average
78.7,79.35166666666667,63.0,29.8,26.9,44,100.0,7,Average
76.2,61.095,68.0,55.0,27.7,72,100.0,12,Average
74.1,80.48833333333333,77.66666666666667,44.0,22.6,144,100.0,6,Average
73.4,55.126666666666665,60.333333333333336,38.6,32.9,68,100.0,2,Average
69.8,71.455,69.33333333333333,41.8,15.1,113,79.3,3,Average
79.2,59.04166666666666,57.0,54.4,13.1,45,49.3,10,Average
75.6,57.88833333333333,69.33333333333333,37.8,14.5,158,79.5,13,Average
68.4,46.55666666666667,44.0,67.4,7.1,103,77.3,6,At Risk
80.1,74.56666666666666,68.33333333333333,67.8,33.9,96,100.0,3,Average
75.6,59.995000000000005,54.66666666666666,48.6,21.6,139,100.0,6,Average
82.3,52.19,62.0,21.2,12.2,116,82.6,13,Average
81.8,52.781666666666666,70.33333333333333,47.4,24.6,24,100.0,11,Average
77.5,65.16,65.33333333333333,31.6,31.2,28,100.0,2,Average
71.2,55.41166666666667,89.0,34.4,32.7,122,100.0,13,High Performer
72.5,71.88666666666667,46.333333333333336,50.8,29.0,172,100.0,11,At Risk
76.4,59.49,52.333333333333336,39.0,9.0,139,73.0,5,Average
71.9,75.37333333333333,41.333333333333336,48.4,6.5,109,59.5,10,At Risk
71.3,62.678333333333335,66.33333333333333,28.8,18.0,63,82.0,5,Average
71.5,50.295,90.0,50.4,29.4,58,100.0,3,High Performer
74.8,65.38166666666667,76.33333333333333,22.0,27.8,146,100.0,14,Average
68.5,85.60000000000001,33.0,42.2,29.8,156,100.0,2,At Risk
70.2,65.54166666666667,68.66666666666667,49.8,22.6,164,77.80000000000001,12,Average
80.4,84.85333333333334,71.33333333333333,45.2,12.3,77,48.900000000000006,3,Average
79.4,60.155,56.66666666666666,38.8,11.3,125,77.9,3,Average
68.3,57.005,45.333333333333336,60.0,24.0,170,82.0,13,At Risk
79.7,65.19500000000001,49.0,50.8,6.4,43,57.2,10,At Risk
81.5,60.91833333333333,60.333333333333336,29.8,32.1,145,100.0,14,Average
68.7,46.54833333333334,47.0,54.4,23.4,68,100.0,6,At Risk
66.7,72.49,48.0,30.4,26.3,45,100.0,12,At Risk
70.5,75.815,75.0,46.0,7.3,35,63.9,14,Average
73.5,81.81,49.333333333333336,68.8,11.1,165,89.3,7,At Risk
81.2,75.82333333333334,79.66666666666667,38.6,20.5,98,87.5,8,Average
70.0,59.84,64.0,31.8,13.3,123,83.9,5,Average
76.2,55.4,51.66666666666666,68.2,25.3,170,100.0,8,Average
70.8,36.13166666666667,81.33333333333333,37.4,22.1,66,82.30000000000001,3,High Performer
71.2,56.80833333333333,58.0,40.4,6.9,103,50.7,6,Average
74.6,54.17,63.333333333333336,55.2,20.4,97,95.2,9,Average
81.3,50.365,54.66666666666666,30.2,30.0,179,100.0,11,Average
71.4,70.765,64.66666666666667,22.8,29.9,131,100.0,6,Average
73.5,70.28666666666668,43.333333333333336,32.4,25.6,82,100.0,10,At Risk
80.0,49.6,38.333333333333336,75.2,26.1,100,100.0,10,At Risk
74.9,58.95,52.333333333333336,36.8,32.2,158,100.0,8,Average
75.8,68.68333333333334,50.333333333333336,36.8,24.8,164,100.0,6,Average
71.9,79.28166666666667,50.66666666666666,43.6,27.3,20,100.0,6,Average
74.2,49.16166666666667,64.66666666666667,54.8,18.7,111,82.1,14,Average
70.0,60.123333333333335,67.0,50.6,29.6,174,100.0,3,Average
69.5,69.08166666666666,43.0,43.4,12.9,98,54.7,14,At Risk
